infoSpeciesId,ifn,plotId,province,municipality,speciesId,scientificName,percentageOfSpecies,numberTreesHa,basalAreaM2Ha,volumeOverBarkM3Ha,volumeUnderBarkM3Ha,ageInYears,infoSpeciesIri,plotIri,speciesIri
"plot-40-1187-Species15","ifn2","40-1187","Segovia","Carbonero el Mayor","Species26","Pinus pinaster",,240.48,9.0937747,29.8939326,16.9082226,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1187-Species15","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1187","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1193-Species15","ifn2","40-1193","Segovia","Mozoncillo","Species15","Crataegus",,,,,,15,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1193-Species15","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1193","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species15"
"plot-40-1193-Species23","ifn2","40-1193","Segovia","Mozoncillo","Species23","Pinus pinea",,62.79,7.8778566,39.6333411,29.7305581,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1193-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1193","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1193-Species26","ifn2","40-1193","Segovia","Mozoncillo","Species26","Pinus pinaster",,19.23,1.7805464,10.6513368,6.9023023,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1193-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1193","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1212-Species26","ifn2","40-1212","Segovia","Nava de la Asunción","Species26","Pinus pinaster",,33.37,2.8853151,17.9088667,12.6181058,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1212-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1212","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1212-Species23","ifn2","40-1212","Segovia","Nava de la Asunción","Species23","Pinus pinea",,95.05,11.4311147,48.7260473,36.0439981,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1212-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1212","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1217-Species23","ifn2","40-1217","Segovia","Nava de la Asunción","Species23","Pinus pinea",,49.78,8.2348894,38.913188,29.50362,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1217-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1217","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1217-Species26","ifn2","40-1217","Segovia","Nava de la Asunción","Species26","Pinus pinaster",,31.83,0.9457563,3.4412844,1.8589113,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1217-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1217","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1223-Species23","ifn2","40-1223","Segovia","Nava de la Asunción","Species23","Pinus pinea",,19.23,1.5935041,4.6381684,3.2935799,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1223-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1223","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1223-Species26","ifn2","40-1223","Segovia","Nava de la Asunción","Species26","Pinus pinaster",,57.71,5.2418809,28.25965,19.2458782,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1223-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1223","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
