plotId,ifn,province,municipality,latWGS84,lngWGS84,dataCapture,plotifn3Id,plotIri,plotifn3Iri
"40-1526","ifn2","Segovia","Muñopedro",40.856249,-4.436799,1991,"40-1526-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1526","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1526-A-1"
"40-1528","ifn2","Segovia","Villacastín",40.856542,-4.413078,1991,"40-1528-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1528","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1528-A-1"
"40-1537","ifn2","Segovia","Monterrubio",40.847681,-4.401027,1991,"40-1537-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1537","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1537-A-1"
"40-1543","ifn2","Segovia","Villacastín",40.838238,-4.43641,1991,"40-1543-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1543","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1543-A-1"
"47-243","ifn2","Valladolid","Laguna de Duero",41.581468,-4.752656,1992,"47-243-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-243","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-243-A-1"
"47-251","ifn2","Valladolid","Laguna de Duero",41.572465,-4.752412,1992,"47-251-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-251","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-251-A-1"
"47-286","ifn2","Valladolid","Valladolid",41.544337,-4.823585,1992,"47-286-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-286","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-286-A-1"
"47-311","ifn2","Valladolid","Villanueva de Duero",41.526332,-4.823079,1992,"47-311-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-311","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-311-A-1"
"47-312","ifn2","Valladolid","Boecillo",41.527812,-4.727235,1992,"47-312-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-312","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-312-A-1"
"47-329","ifn2","Valladolid","Viana de Cega",41.518628,-4.738975,1992,"47-329-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-329","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-329-A-1"
"47-330","ifn2","Valladolid","Boecillo",41.518809,-4.726996,1992,"47-330-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-330","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-330-A-1"
"47-342","ifn2","Valladolid","Valdestillas",41.508516,-4.810597,1992,"47-342-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-342","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-342-A-1"
